"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Edolk\Desktop\Other java projects\ZircPrototype\zircdemo\src\main\java\edolkh1\zirc\gameobjects\items\potions\WaterPotion.java", "Java", -1, 0, 0, -1
"Total", "-", -1, 0, 0, -1
